$
HA=1,HC=826617,HB=3485,HD=20210809,HI=104425,HO=,HM=71,IS=XPLOG GeoTech AB 20161104,IK=1.0,HK=21s07,HQ=Johan,CH0=25,CH1=6,CH2=100,CH3=10000,CH4=25,CH5=25
#
D=4.225,A=1.107,W=1.107,AK=105326,AKZ=3488,B=58.8,C=3.4,R=62,P=0.434,PR=0.000,SP=10.173
D=4.250,A=5.177,W=5.177,AK=105327,AKZ=3492,B=97.4,C=2.1,R=62,P=0.569,PR=0.000,SP=8.391
D=4.275,A=5.947,W=5.947,AK=105327,AKZ=3493,B=100.5,C=2.0,R=61,P=0.569,PR=0.000,SP=9.111
D=4.300,A=0.587,W=0.587,AK=105327,AKZ=3499,B=44.5,C=4.5,R=61,P=0.664,PR=0.000,SP=11.414
D=4.325,A=0.597,W=0.597,AK=105328,AKZ=3501,B=98.1,C=2.0,R=61,P=0.533,PR=0.000,SP=9.030
D=4.350,A=0.557,W=0.557,AK=105328,AKZ=3503,B=97.1,C=2.1,R=62,P=0.600,PR=0.000,SP=9.086
D=4.375,A=0.577,W=0.577,AK=105328,AKZ=3505,B=97.2,C=2.1,R=62,P=0.551,PR=0.000,SP=8.499
D=4.400,A=0.677,W=0.677,AK=105328,AKZ=3507,B=108.6,C=1.8,R=63,P=0.580,PR=0.000,SP=8.438
D=4.425,A=2.377,W=2.377,AK=105329,AKZ=3511,B=105.7,C=1.9,R=63,P=0.628,PR=0.000,SP=8.154
D=4.450,A=3.287,W=3.287,AK=105329,AKZ=3513,B=97.1,C=2.1,R=63,P=0.845,PR=0.000,SP=7.798
D=4.475,A=5.027,W=5.027,AK=105329,AKZ=3515,B=100.9,C=2.0,R=62,P=0.757,PR=0.000,SP=8.069
D=4.500,A=6.587,W=6.587,AK=105329,AKZ=3517,B=101.9,C=2.0,R=62,P=0.856,PR=0.000,SP=8.103
D=4.525,A=3.487,W=3.487,AK=105330,AKZ=3526,B=16.9,C=11.8,R=60,P=0.627,PR=0.000,SP=11.326
D=4.550,A=0.697,W=0.697,AK=105332,AKZ=3536,B=25.4,C=7.9,R=62,P=0.617,PR=0.000,SP=11.140
D=4.575,A=2.587,W=2.587,AK=105332,AKZ=3540,B=65.0,C=3.1,R=63,P=0.673,PR=0.000,SP=9.581
D=4.600,A=3.077,W=3.077,AK=105333,AKZ=3546,B=55.0,C=3.6,R=62,P=0.581,PR=0.000,SP=10.151
D=4.625,A=5.537,W=5.537,AK=105333,AKZ=3550,B=60.0,C=3.3,R=62,P=0.459,PR=0.000,SP=9.426
D=4.650,A=6.177,W=6.177,AK=105333,AKZ=3552,B=85.9,C=2.3,R=61,P=0.977,PR=0.000,SP=9.765
D=4.675,A=6.007,W=6.007,AK=105334,AKZ=3563,B=14.5,C=13.8,R=60,P=0.450,PR=0.000,SP=11.337
D=4.700,A=3.407,W=3.407,AK=105337,AKZ=3583,B=11.9,C=16.8,R=61,P=0.618,PR=0.000,SP=11.129
D=4.725,A=3.057,W=3.057,AK=105338,AKZ=3596,B=16.8,C=11.9,R=61,P=0.561,PR=0.000,SP=10.537
D=4.750,A=1.807,W=1.807,AK=105339,AKZ=3604,B=32.4,C=6.2,R=61,P=0.741,PR=0.000,SP=10.193
D=4.775,A=1.997,W=1.997,AK=105340,AKZ=3610,B=47.5,C=4.2,R=61,P=0.605,PR=0.000,SP=9.507
D=4.800,A=1.657,W=1.657,AK=105340,AKZ=3614,B=51.7,C=3.9,R=62,P=0.531,PR=0.000,SP=9.225
D=4.825,A=1.007,W=1.007,AK=105341,AKZ=3619,B=35.7,C=5.6,R=61,P=0.555,PR=0.000,SP=10.058
D=4.850,A=0.987,W=0.987,AK=105342,AKZ=3633,B=27.9,C=7.2,R=61,P=0.642,PR=0.000,SP=11.803
D=4.875,A=2.087,W=2.087,AK=105342,AKZ=3635,B=95.2,C=2.1,R=61,P=0.538,PR=0.000,SP=8.338
D=4.900,A=2.807,W=2.807,AK=105343,AKZ=3637,B=93.3,C=2.1,R=62,P=0.867,PR=0.000,SP=9.583
D=4.925,A=4.607,W=4.607,AK=105343,AKZ=3641,B=86.8,C=2.3,R=60,P=0.529,PR=0.000,SP=8.236
